"icao","elevation_ft","heading_deg","frequency_mhz","range_nm","ident","runway"
"LEZG","118.1","300","109.5","27","IZZA","ILS DME RW30R"
"PADK","11","233.53033","108.9","27","IBER","ILS RW23"
"PASN","37","0","109.9","27","IPAU","ILS RW36"
"PAPB","116","111.57428","110.1","27","IPBV","ILS RW11"
"NSFA","58","77.32463","109.9","27","IAP","ILS RW08"
"NSTU","25","46.5","110.3","27","ITUT","ILS RW05"
"PAOM","13","278.8908","108.7","27","IOME","ILS RW28"
"PAOT","9","88.9","110.7","27","IOTZ","ILS RW09"
"PASM","314","170.66063","109.1","27","ISMA","ILS RW17"
"PABE","106","192.52632","111.5","27","IBET","ILS RW19R"
"PACD","71","146.40237","110.3","27","ICDB","ILS RW15"
"PAUN","27","150.1","111.3","27","IUNK","ILS RW15"
"PANI","92","109.2","109.7","27","IANI","ILS RW11"
"PADL","82","191.46283","111.9","27","IDLG","ILS RW19"
"PHLI","87","349","110.9","27","ILIH","ILS RW35"
"PHNL","6","41.85287","110.5","27","IIUM","ILS RW04R"
"PHNL","7","79.071396","111.7","27","IHNL","ILS RW08L"
"PHNL","13","304","109.1","27","IEPC","ILS RW26L"
"NCRG","19","76.00197","109.9","27","INO","ILS RW08"
"NCRG","14","256.00198","110.3","27","IAV","ILS RW26"
"PABR","44","79.96747","110.5","27","IBRW","ILS RW08"
"PAMC","343","162.4","108.5","27","IMCG","ILS RW16"
"PAKN","64","120.94212","110.3","27","IAKN","ILS RW12"
"PHNY","1302","32.97416","111.1","27","ILNY","ILS RW03"
"PHOG","50","23.811098","110.1","27","IOGG","ILS RW02"
"PHKO","41","175.27838","109.7","27","IKOA","ILS RW17"
"PHTO","33","259.00293","110.7","27","IITO","ILS RW26"
"PAEN","97","195.86743","108.9","27","IENA","ILS RW20R"
"PAHO","84","38.012783","109.3","27","IHOM","ILS RW04"
"PADQ","25","257.85925","110.9","27","IADQ","ILS RW26"
"PAKU","61","242","110.7","27","IRGN","ILS RW24"
"PAKU","59","62","111.9","27","IRHF","ILS RW06"
"PASC","60","57.97413","109.3","27","ISCC","ILS RW06"
"PAFA","431","23.020004","109.1","27","ICNA","ILS RW02L"
"PAFA","434","203.02","110.3","27","IFAI","ILS RW20R"
"PAEI","540","320","109.9","27","IEAF","ILS RW32"
"PAEI","532","140","110.5","27","IEIL","ILS RW14"
"PAED","169","62","110.3","27","IEDF","ILS RW06"
"PANC","123","73.87601","109.9","27","ITGN","ILS RW07L"
"PANC","125","73.850334","111.3","27","IANC","ILS RW07R"
"PANC","151","148.88626","111.75","27","IBSC","ILS RW15"
"NTAA","5","41.247856","109.9","27","PT","ILS RW04"
"PABI","1253","102","111.1","27","IBIG","ILS RW10"
"PACV","47","275.33313","110.7","27","ICDV","ILS RW27"
"PAVD","128","57.3","109.5","27","IVDZ","ILS RW06"
"PAYA","31","115.07878","111.1","27","IYAK","ILS RW11"
"CYXY","2306","320.2979","109.5","27","IXY","ILS RW32L"
"PASI","27","115.56488","108.9","27","ISIT","ILS RW11"
"CYEV","195","65.88246","110.3","27","IEV","ILS RW06"
"PAJN","25","71","109.9","27","IJDL","ILS RW08"
"PAPG","113","164","110.5","27","IPSG","ILS RW23"
"PAWG","44","93","108.5","27","IRGL","ILS RW10"
"PAKT","82","114.61556","109.3","27","IECH","ILS RW11"
"CYZP","20","122","109.5","27","IZP","ILS RW13"
"CYQH","2246","88","110.3","27","IQH","ILS RW09"
"CYPR","97","132.58714","109.7","27","IPR","ILS RW13"
"CYXT","713","332.97424","110.1","27","IXT","ILS RW33"
"CYZT","45","112.41804","109.5","27","IZT","ILS RW11"
"CYBL","347","117.08021","109.1","27","IBL","ILS RW12"
"CYQQ","77","119.39346","111.7","27","IQQ","ILS RW12"
"CYQQ","79","299.39346","109.75","27","ICX","ILS RW30"
"CYCD","76","163.8729","110.35","27","ICD","ILS RW16"
"KHQM","15","240.79303","108.7","27","IHQM","ILS RW24"
"KAST","9","260.5351","109.5","27","IAST","ILS RW26"
"KONP","144","162.30957","111.5","27","IONP","ILS RW16"
"KOTH","12","45.605137","108.5","27","IOTH","ILS RW05"
"KCEC","58","119.28294","108.7","27","ICEC","ILS RW12"
"KACV","215","315.87256","109.5","27","IACV","ILS RW32"
"CYYE","1249","38.76713","110.3","27","IYE","ILS RW04"
"CYXJ","2244","298.13147","109.5","27","IXJ","ILS RW30"
"CYXS","2231","152.60402","109.5","27","IXS","ILS RW15"
"CYKA","1129","87.252884","109.3","27","IKA","ILS RW09"
"CYKA","1133","269","109.9","27","XPP","ILS RW27"
"CYVR","11","82.92569","110.55","27","ITL","ILS RW08L"
"CYVR","8","82.91946","109.5","27","IVR","ILS RW08R"
"CYVR","5","124.932274","111.1","27","IMK","ILS RW13"
"CYVR","5","262.91946","110.7","27","IFZ","ILS RW26L"
"CYVR","7","262.9257","111.95","27","IRD","ILS RW26R"
"CYYJ","55","89.42761","108.7","27","IKH","ILS RW09"
"CYYJ","57","269.4276","109.95","27","IYJ","ILS RW27"
"CYXX","171","68.715744","109.7","27","IXX","ILS RW07"
"KBLI","153","163.84785","108.5","27","IBLI","ILS RW16"
"KCLM","278","88.60594","108.9","27","ICLM","ILS RW08"
"KAWO","142","342.16653","111.5","27","IAWO","ILS RW34"
"KNUW","35","137","110.1","27","INUW","ILS RW14"
"KPAE","567","163.15935","109.3","27","IPAE","ILS RW16R"
"KBFI","17","135.24794","110.9","27","IBFI","ILS RW14R"
"KBFI","17","315.24792","110.9","27","ICHJ","ILS RW32L"
"KPWT","437","197","111.1","27","IPWT","ILS RW20"
"KSEA","418","164.3449","111.7","27","ISZI","ILS RW16C"
"KSEA","425","164.34865","110.3","27","ISNQ","ILS RW16L"
"KSEA","406","164.34187","110.75","27","ICJL","ILS RW16R"
"KSEA","367","344.3449","111.7","27","ITUC","ILS RW34C"
"KSEA","359","344.34186","110.75","27","IBEJ","ILS RW34L"
"KSEA","355","344.34863","110.3","27","ISEA","ILS RW34R"
"KTCM","283","165","109.9","27","IMAR","ILS RW16"
"KTCM","325","345","108.5","27","ITCM","ILS RW34"
"KTIW","289","167","109.1","27","ITIW","ILS RW17"
"KOLM","192","176.28464","111.9","27","IOLM","ILS RW17"
"KGRF","295","151","108.3","27","IGRF","ILS RW15"
"KEAT","1219","120.11393","109.35","27","IADJ","ILS RW12"
"KYKM","1053","274.06683","110.1","27","IYKM","ILS RW27"
"KSPB","58","151.7649","111.1","27","IFKO","ILS RW15"
"KHIO","196","127.66312","110.7","27","IHIO","ILS RW13R"
"KMMV","160","218.10692","110.9","27","IMMV","ILS RW22"
"KPDX","31","103.10681","111.3","27","IVDG","ILS RW10L"
"KPDX","16","103.08745","110.5","27","IPDX","ILS RW10R"
"KPDX","31","208.91135","108.9","27","IGPO","ILS RW21"
"KPDX","20","283.08746","110.5","27","IJMJ","ILS RW28L"
"KPDX","30","283.1068","111.3","27","IIAP","ILS RW28R"
"KUAO","200","172.15437","111.15","27","IUAO","ILS RW17"
"KVUO","31","104.07529","111.3","27","IVDG","ILS RW10L"
"KDLS","249","238","109.35","27","IDLS","ILS RW25"
"KCVO","244","171.93164","111.9","27","ICVO","ILS RW17"
"KSLE","209","313.17722","110.3","27","ISLE","ILS RW31"
"KEUG","360","164.38782","111.75","27","IADE","ILS RW16L"
"KEUG","357","164.37892","110.1","27","IEUG","ILS RW16R"
"KRDM","3053","226.29143","109.1","27","IRDM","ILS RW23"
"KMFR","1292","142.85736","110.3","27","IMFR","ILS RW14"
"KLMT","4086","321.30008","109.5","27","ILMT","ILS RW32"
"KRDD","491","346.05435","108.7","27","IRDD","ILS RW34"
"KCIC","233","131.56581","111.3","27","ICIC","ILS RW13L"
"KUKI","617","151","109.1","27","IUKI","ILS RW15"
"KSTS","119","321.29214","109.3","27","ISTS","ILS RW32"
"KAPC","12","6.761122","111.3","27","IAPC","ILS RW01L"
"KCCR","26","184.8","108.5","27","ICCR","ILS RW19R"
"KSUU","47","215","110.1","27","ISUU","ILS RW21L"
"KSUU","28","35","108.35","27","ITXV","ILS RW03L"
"KBAB","103","145","109.5","27","IBAB","ILS RW15"
